tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
121-09232,TN-45,WESTBOUND,US-70/TN-24/LEBANON PIKE,TN,DAVIDSON,37076,36.18367,-86.61066,36.19745,-86.61999,1.107664,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11559,TN-840,WESTBOUND,I-40,TN,DICKSON,37029,35.94277,-87.19222,36.0146,-87.25956,6.503048,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14830,HOLMES RD,EASTBOUND,TN-176/GETWELL RD,TN,SHELBY,38118,35.0062,-89.95457,35.00611,-89.93681,1.004957,12.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09230,TN-45,WESTBOUND,32ND ST,TN,DAVIDSON,37138,36.23229,-86.62471,36.24485,-86.63786,1.149441,6.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14831,HOLMES RD,EASTBOUND,PLEASANT HILL RD,TN,SHELBY,38118,35.00611,-89.93681,35.00595,-89.90151,1.99748,13.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11554,TN-22,SOUTHBOUND,TYSON DR,TN,OBION,38261,36.43623,-89.01069,36.42314,-89.003,1.05973,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11553,TN-22,SOUTHBOUND,MARTIN HWY/US-431/E REELFOOT AVE,TN,OBION,38261,36.4163,-89.00011,36.40909,-88.99435,0.593314,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50130,OLD HIGHWAY 411,WESTBOUND,US-411 (WEST),TN,POLK,37307,35.16387,-84.68574,35.16431,-84.68621,0.041281,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50131,OLD HIGHWAY 411,WESTBOUND,US-411 (EAST),TN,POLK,37307,35.16734,-84.66678,35.16657,-84.66768,0.077552,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50133,TN-15,WESTBOUND,US-64 (WEST),TN,GILES,38478,35.19097,-86.85853,35.1903,-86.8597,0.086162,2.25,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14829,HOLMES RD,EASTBOUND,TCHULAHOMA RD,TN,SHELBY,38118,35.00646,-89.98988,35.0062,-89.95457,1.998058,11.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50134,TN-15,WESTBOUND,US-64 (EAST),TN,LINCOLN,38459,35.19161,-86.80196,35.19129,-86.80192,0.022221,2.25,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50136,WAYNESBORO HWY/OLD HIGHWAY 64,WESTBOUND,US-64 (WEST),TN,LAWRENCE,38464,35.3109,-87.51911,35.31156,-87.51938,0.048773,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14825,HOLMES RD,EASTBOUND,NEELY RD,TN,SHELBY,38109,35.00645,-90.06813,35.0064,-90.05569,0.704116,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50137,WAYNESBORO HWY/OLD HIGHWAY 64,WESTBOUND,US-64 (EAST),TN,LAWRENCE,38464,35.30379,-87.47108,35.30303,-87.47241,0.09928,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09239,GALLATIN PIKE,SOUTHBOUND,E TRINITY LN,TN,DAVIDSON,37216,36.2102,-86.7336,36.20358,-86.73853,0.535263,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14826,HOLMES RD,EASTBOUND,US-51/ELVIS PRESLEY BLVD,TN,SHELBY,38109,35.0064,-90.05569,35.00639,-90.02528,1.720828,6.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14827,HOLMES RD,EASTBOUND,MILLBRANCH RD,TN,SHELBY,38116,35.00639,-90.02528,35.00643,-90.00768,0.995873,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
