"Rank","Head Location","Starting TMC Code","Latitude","Longitude","Average max length","Average daily duration","Total duration","All events/incidents","Volume Estimate","Base Impact","Speed differential","Congestion","TOTAL DELAY","Segment IDs"
193,"US-441 S @ BLOUNT AVE","121-10410","35.95437","-83.91644","0.62"," 44 m"," 22 h 12 m","0","21,466","748","11,840","1,062","745,150","121-10410, 121N10411, 121-10411, 121-10412"
194,"US-231 S @ SAMSONITE BLVD/SANBYRN DR","121-06843","35.82761","-86.39423","2.42"," 17 m"," 8 h 40 m","0","14,901","1,068","21,346","1,678","743,588","121-06843, 121-06842, 121-06014, 121N06014, 121-06841, 121-50890, 121-50889"
195,"US-11 S @ I-75/TN-317/OLD LEE HWY","121-08471","35.06315","-85.12782","4.03"," 4 m"," 2 h 10 m","0","36,525","514","20,317","1,062","730,561","121-08471, 121N08420, 121-08420"
196,"US-129 N @ MALONEY RD","121+08335","35.90512","-83.95373","1.68"," 8 m"," 4 h 11 m","0","23,679","585","18,495","1,318","730,477","121+08335, 121P08334, 121+08334, 121+08333"
197,"US-70S E @ US-431/BROADWAY/16TH AVE","121-08619","36.15427","-86.79289","0.5"," 1 h 31 m","1 d 21 h 31 m","0","15,319","1,224","16,390","1,523","729,895","121-08619, 121-08653, 121-08652, 121-08651, 121-08650, 121-08649, 121N08618, 121-08618, 121-08648"
198,"TN-374 S @ PEACHERS MILL RD","121-12412","36.58599","-87.39098","1.04"," 26 m"," 13 h 5 m","0","20,042","834","20,272","1,394","724,745","121-12412, 121N12413"
199,"US-31 N @ TN-441/MOORES LN/LYNWOOD WAY","121P05213","35.97391","-86.83255","0.15"," 10 h 59 m","13 d 17 h 56 m","0","7,999","2,871","49,466","3,603","714,751","121P05213, 121+05213, 121P05959, 121+05959, 121P05958, 121+05958"
200,"SAM COOPER BLVD W @ US-64/US-70/UD-79/TN-57/E PARKWAY N","113N10377","35.14864","-89.98176","0.12"," 14 h 41 m","18 d 8 h 58 m","0","12,074","1,977","33,022","2,404","707,897","113N10377, 113-10377"
201,"US-129 S @ LOUISVILLE RD","121N08326","35.77195","-83.9885","0.15"," 6 h 9 m","7 d 16 h 55 m","0","18,871","1,574","35,556","1,999","705,072","121N08326, 121-08326"
202,"WALNUT GROVE RD E @ RALEIGH LAGRANGE RD","113P11023","35.1295","-89.72805","0.11"," 13 h 3 m","16 d 7 h 54 m","0","13,118","1,707","33,597","2,278","702,869","113P11023, 113+11023, 113+11067"
203,"TN-205 S @ I-40","113N09874","35.2614","-89.6644","0.2"," 9 h 35 m","11 d 23 h 31 m","0","7,617","2,806","46,606","3,531","702,113","113N09874, 113-09874, 113N09875"
204,"US-70 W @ I-40/I-65","121N05900","36.16076","-86.79363","0.06"," 4 h 34 m","5 d 17 h 2 m","0","40,862","514","6,919","605","701,423","121N05900, 121-05900, 121N05901, 121-05901, 121-13540"
205,"US-70 W @ TN-171/N MT JULIET RD","121-07022","36.23093","-86.51354","4.53"," 37 m"," 18 h 37 m","0","7,105","5,056","104,877","5,735","698,191","121-07022, 121N06045"
206,"US-70S W @ FRANKLIN LIMESTONE RD","121+08632","36.09442","-86.65334","1.32"," 31 m"," 15 h 31 m","0","16,960","1,117","19,760","1,513","695,410","121+08632, 121P08633, 121+08633, 121+08634, 121P08635, 121+08635"
207,"TN-96 W @ US-31-TRUCK/US-431-TRUCK/DOWNS BLVD","121-08700","35.93006","-86.89853","1.56"," 53 m","1 d 2 h 59 m","0","9,292","2,521","42,056","3,045","686,645","121-08700, 121-08701"
208,"US-70S W @ FESSLERS LN","121+08626","36.14282","-86.74435","0.2"," 5 h 24 m","6 d 18 h","0","14,089","1,558","22,250","1,824","684,062","121+08626, 121+08627, 121+08656, 121P08628, 121+08628"
209,"TN-12 W @ TN-249/TN-49/CUMBERLAND ST/FREY ST","121N09198","36.27442","-87.0642","0.49"," 2 h 1 m","2 d 12 h 33 m","0","8,484","1,489","26,139","2,363","682,118","121N09198, 121-09198, 121-09199"
210,"US-412 E @ TOM J HITCH PKY","121-08583","35.63485","-87.01034","0.72"," 2 h 15 m","2 d 19 h 53 m","0","7,578","2,322","52,126","3,552","680,538","121-08583, 121N05977, 121-05977"
211,"TN-155 N @ TWO RIVERS PKY/EXIT 10","121+04318","36.1879","-86.689","2.19"," 3 m"," 1 h 50 m","0","36,478","258","10,598","855","678,519","121+04318, 121P04317, 121+04317, 121P04316, 121+04316"
212,"US-11 N @ GERMANTOWN RD","121+08456","35.02416","-85.24643","0.75"," 40 m"," 20 h 24 m","0","17,294","868","16,612","1,320","677,301","121+08456, 121+08455, 121P11595, 121+11595, 121P08454, 121+08454, 121+11530"
213,"TN-62 W @ TN-131/BYINGTON BEAVER RIDGE RD","121+08225","35.97923","-84.11498","4.36"," 30 m"," 15 h 16 m","0","8,202","3,992","82,573","4,596","671,135","121+08225"
214,"TN-155 W @ GRANNY WHITE PIKE","121-08683","36.11165","-86.79259","1.33"," 57 m","1 d 4 h 43 m","0","10,613","2,021","33,313","2,486","669,104","121-08683, 121-08682, 121-08690"
215,"TN-60 N @ US-11/TN-74/N LEE HWY/N OCOEE ST","121+09422","35.17853","-84.86446","0.91"," 59 m","1 d 5 h 45 m","0","12,472","1,629","32,912","2,216","663,322","121+09422"
216,"TN-14 N @ YALE RD","113P05381","35.22229","-89.90807","0.42"," 1 h 34 m","1 d 23 h 1 m","0","20,368","987","20,937","1,400","662,771","113P05381, 113+05381, 113P05379, 113+05379, 113P07593, 113+07593, 113P05378, 113+05378"
217,"TN-60 S @ US-11/TN-74/N LEE HWY/N OCOEE ST","121N09422","35.17844","-84.86461","0.24"," 4 h 22 m","5 d 11 h 2 m","0","15,621","1,404","21,299","1,668","662,246","121N09422, 121-09422, 121N09423, 121-09423, 121N09424"
218,"US-70S E @ MT VIEW RD","121-08637","36.05433","-86.61869","1.29"," 23 m"," 11 h 50 m","0","14,437","972","20,698","1,597","660,012","121-08637, 121-08636, 121N08635, 121-08635, 121-08634, 121N08633, 121-08633, 121-08632, 121N08657, 121-08657, 121N08631, 121-08631"
219,"TN-153 N @ TN-319/DUPONT PKY","121P04365","35.12178","-85.23851","0.38"," 1 h 4 m","1 d 8 h 25 m","0","26,225","690","19,468","1,183","658,839","121P04365, 121+04365, 121P04364, 121+04364, 121P11603, 121+11603, 121P11602, 121+11602, 121P04363, 121+04363, 121P04362, 121+04362"
220,"TN-374 S @ MEMORIAL DR","121N12406","36.52081","-87.27777","0.95"," 1 h 3 m","1 d 7 h 43 m","0","10,560","1,604","42,913","2,676","657,121","121N12406, 121-12406, 121N12407, 121-12407, 121-12408, 121N12409"
