"Rank","Head Location","Starting TMC Code","Latitude","Longitude","Average max length","Average daily duration","Total duration","All events/incidents","Volume Estimate","Base Impact","Speed differential","Congestion","TOTAL DELAY","Segment IDs"
485,"US-231 S @ VETERANS PKWY","121-50890","35.78599","-86.4007","1.85"," 6 m"," 3 h 25 m","0","21,799","359","7,631","565","329,682","121-50890, 121-50889"
486,"TN-58 N @ WISDOM ST/RIVERPORT RD","121+09365","35.08128","-85.26417","1.78"," 13 m"," 6 h 52 m","0","17,871","727","15,250","906","327,974","121+09365, 121+09364"
487,"TN-255 S @ ANTIOCH PIKE","121-09250","36.08744","-86.69218","0.62"," 20 m"," 10 h 23 m","0","17,132","377","6,592","579","327,846","121-09250, 121-09251, 121N09252, 121-09252, 121N09253"
488,"US-70 W @ 28TH AVE","121-04422","36.15394","-86.81818","0.81"," 44 m"," 22 h","0","11,681","992","15,084","1,156","326,026","121-04422, 121-04423, 121-04424, 121N04425, 121-04425"
489,"MUSIC SQ E N @ BUDDY KILLEN CIR/DEMONBREUN ST/DIVISION ST","121P13621","36.15232","-86.79161","0.21"," 3 h 27 m","4 d 7 h 52 m","0","10,669","896","10,690","1,014","322,534","121P13621, 121+13621, 121P13620"
490,"13TH AVE S N @ US-70/US-431/BROADWAY","121P13577","36.156","-86.78884","0.06"," 5 h 2 m","6 d 7 h 18 m","0","18,227","478","7,804","616","322,203","121P13577, 121+13577, 121P13576"
491,"US-431 N @ US-31-TRUCK/M HATCHER MEMORIAL PKY","121+07425","35.89947","-86.84916","2.91"," 25 m"," 12 h 35 m","0","6,460","2,109","40,429","2,473","321,051","121+07425, 121+07441"
492,"US-70S E @ TN-255/DONELSON PIKE","121N08631","36.10594","-86.67237","0.09"," 4 h 54 m","6 d 3 h 3 m","0","17,901","745","13,291","862","320,841","121N08631, 121-08631, 121N08630"
493,"TN-15 W @ TN-14","113N07496","35.20538","-89.92402","0.15"," 6 h 21 m","7 d 22 h 41 m","0","8,605","1,484","27,831","1,773","320,211","113N07496, 113-07496, 113-05404, 113-05405, 113-05406, 113-05407"
494,"GRANNY WHITE PIKE N @ TN-254/OLD HICKORY BLVD","121+50755","36.04026","-86.81635","1.7"," 19 m"," 9 h 55 m","0","13,162","1,011","14,662","1,098","319,691","121+50755"
495,"TN-99 E @ MIDDLE TENNESSEE BLVD","121+50885","35.8342","-86.41074","0.67"," 36 m"," 18 h 13 m","0","11,625","675","12,996","994","319,565","121+50885, 121P50884, 121+50884"
496,"TN-56 S @ I-40/BAXTER RD/EXIT 280","121N06142","36.13759","-85.63188","0.18"," 1 h 15 m","1 d 13 h 53 m","0","10,762","407","3,103","514","318,940","121N06142"
497,"TN-251 S @ I-40","121N12423","36.11015","-86.92255","0.37"," 1 h 50 m","2 d 7 h 8 m","0","9,265","1,173","23,239","1,514","318,282","121N12423, 121-12423, 121N12424"
498,"HOUSTON LEVEE RD N @ US-64","113P15516","35.20567","-89.73277","0.03"," 17 h 55 m","22 d 9 h 43 m","0","12,070","925","17,779","1,162","318,237","113P15516"
499,"TN-277 S @ S PKY E/SPOTTSWOOD AVE","113-05537","35.11509","-89.98452","0.95"," 21 m"," 10 h 51 m","0","9,915","647","11,510","986","317,916","113-05537, 113-05538"
500,"US-72 W @ TN-175/BYHALIA RD","113-05328","35.04612","-89.68912","0.29"," 2 h 1 m","2 d 12 h 57 m","0","9,616","1,051","15,873","1,263","317,893","113-05328, 113N05329"
501,"TN-441 E @ TN-252/WILSON PIKE","121P12365","35.97045","-86.77377","0.08"," 6 h 23 m","7 d 23 h 47 m","0","14,250","800","14,055","967","317,836","121P12365, 121+12365, 121+50741, 121P12364, 121+12364, 121P12363"
502,"HOUSTON LEVEE RD S @ WINCHESTER RD","113-50864","35.04704","-89.73263","0.32"," 1 h 10 m","1 d 11 h 25 m","0","17,452","681","9,031","741","317,616","113-50864"
503,"TN-332 E @ I-140/PELLISSIPPI PKY","121P10452","35.85963","-84.07109","0.16"," 4 h 24 m","5 d 12 h 22 m","0","11,498","1,019","15,887","1,166","317,112","121P10452, 121+10452"
504,"US-321 W @ FOOTHILLS MALL DR","121-08257","35.75085","-83.99852","0.27"," 1 h 55 m","2 d 9 h 44 m","0","14,591","925","14,988","1,031","316,443","121-08257, 121N05545, 121-05545"
505,"MAIN ST E @ 10TH ST","121P09308","36.17816","-86.75166","0.19"," 5 h 7 m","6 d 9 h 48 m","0","8,688","1,223","15,832","1,372","315,945","121P09308, 121+09308, 121+09307, 121P09306"
506,"TN-56 S @ US-70S/TN-1","121N06139","35.70063","-85.78066","0.07"," 14 h 15 m","17 d 19 h 37 m","0","5,518","1,847","30,310","2,263","315,554","121N06139"
507,"TN-840 W @ I-65/EXIT 31","121-04548","35.82264","-86.82485","3.25"," 15 m"," 7 h 49 m","0","10,475","1,333","50,269","2,026","315,325","121-04548, 121N04549, 121-04549"
508,"US-431 N @ MAGNOLIA BLVD","121+07416","36.13365","-86.80111","1"," 14 m"," 7 h 28 m","0","18,155","420","5,997","544","315,077","121+07416, 121P07408, 121+07408"
509,"HIGHLAND ST S @ US-72/POPLAR AVE","113-14935","35.12781","-89.94524","0.29"," 1 h 24 m","1 d 18 h 13 m","0","10,962","724","8,800","866","315,062","113-14935"
510,"TN-136 N @ I-40","121P12623","36.13611","-85.50259","0.13"," 4 h 48 m","6 d 26 m","0","7,199","1,168","13,868","1,356","314,329","121P12623"
511,"US-70 E @ US-321/TN-73/TN-95","121P07052","35.83674","-84.29164","0.08"," 8 h 54 m","11 d 3 h 29 m","0","7,732","1,313","25,493","1,738","314,278","121P07052"
512,"US-129 N @ TN-333/TOPSIDE RD","121+08333","35.86658","-83.95949","2.72"," 4 m"," 2 h 6 m","0","23,903","224","8,844","577","314,121","121+08333, 121+08332, 121P05571, 121+05571, 121+08331"
513,"WHITE STATION RD N @ US-72/POPLAR AVE","113+14906","35.10914","-89.88836","0.24"," 2 h 25 m","3 d 52 m","0","8,393","1,036","13,387","1,238","312,520","113+14906"
514,"14TH AVE S S @ I-40/I-65/DEMONBREUN ST","121P13580","36.15359","-86.7884","0.04"," 8 h 27 m","10 d 13 h 53 m","0","10,215","524","3,598","593","312,435","121P13580, 121+13580, 121P13579"
515,"US-11 S @ US-11-BYP/TN-2/KEITH ST NW","121-08478","35.19896","-84.84842","0.21"," 1 h 56 m","2 d 10 h 13 m","0","15,254","749","9,017","799","312,118","121-08478"
516,"US-231 S @ CASTLE HEIGHTS AVE N/OAKDALE DR","121-06854","36.22523","-86.29026","4.75"," 19 m"," 9 h 32 m","0","5,892","2,517","56,428","2,987","310,337","121-06854, 121-06019, 121-06853"
517,"TN-253 W @ EDMONDSON PIKE","121-50681","35.99005","-86.74528","3.56"," 13 m"," 6 h 30 m","0","10,170","1,386","27,576","1,609","309,220","121-50681, 121N50682"
518,"MANSON PIKE E @ FORTRESS BLVD","121P12456","35.86639","-86.46294","0.06"," 13 h 3 m","16 d 7 h 50 m","0","9,659","1,262","20,404","1,438","308,958","121P12456, 121+12456"
519,"ELM HILL PIKE E @ FESSLERS LN","121+13658","36.14465","-86.74405","0.34"," 2 h 56 m","3 d 16 h 26 m","0","4,783","1,763","20,719","2,023","307,805","121+13658, 121P13657"
520,"HAYWOOD LN W @ US-31A/US-41A/NOLENSVILLE PIKE","121N50684","36.06819","-86.71913","0.12"," 17 h 28 m","21 d 20 h 7 m","0","4,630","1,479","22,585","2,067","307,559","121N50684, 121-50684, 121N50685, 121-50685, 121N50686"
521,"US-231 N @ WARRIOR DR/BUTLER DR","121+06841","35.80591","-86.39764","1.94"," 10 m"," 5 h 20 m","0","16,635","545","11,204","754","305,026","121+06841, 121+06014, 121P06014, 121+06842"
522,"US-70 W @ BUTTERMILK RD W","121-07051","35.849699992579","-84.424979986271","8.68"," 33 m"," 16 h 31 m","0","1,664","8,587","186,231","10,105","303,206","121-07051, 121N07052"
523,"TN-153 N @ DAYTON BLVD","121P09408","35.18076","-85.24675","0.34"," 15 m"," 7 h 43 m","0","15,976","330","9,373","723","303,047","121P09408, 121+09408, 121+09407, 121+09406"
524,"WESTLAND DR E @ EMORY CHURCH RD/TREYMOUR WAY","121+10695","35.87945","-84.09124","0.82"," 45 m"," 22 h 55 m","0","9,001","1,109","21,715","1,452","302,929","121+10695, 121P10694, 121+10694, 121P10693"
525,"US-431 S @ TN-840","121N07440","35.81998","-86.85107","0.77"," 1 h 3 m","1 d 7 h 53 m","0","5,985","1,232","36,363","2,211","302,323","121N07440, 121-07440"
526,"TN-205 N @ US-70/US-79/TN-1","113P09875","35.29352","-89.6755","0.08"," 10 h 52 m","13 d 14 h 11 m","0","7,261","1,146","17,436","1,448","302,024","113P09875, 113+09875, 113P09874"
527,"2ND AVE N @ US-70/BROADWAY","121+12436","36.1619","-86.77516","0.19"," 1 h 28 m","1 d 20 h 15 m","0","8,810","507","2,982","566","301,818","121+12436, 121+12435, 121P12434, 121+12434, 121P12433, 121+12433, 121P12432"
528,"MCEWEN DR E @ TN-252/WILSON PIKE","121P50740","35.93747","-86.76809","0.06"," 11 h 11 m","13 d 23 h 59 m","0","10,251","944","16,646","1,193","301,423","121P50740, 121+50740, 121P12356"
529,"KIRBY PKWY N @ TN-385/BILL MORRIS PKWY","113P14881","35.06796","-89.84329","0.19"," 3 h 38 m","4 d 13 h 11 m","0","9,202","1,135","15,651","1,280","300,903","113P14881, 113+14881, 113+14880"
530,"TN-155 E @ GRANNY WHITE PIKE","121+08683","36.11165","-86.79259","1.72"," 20 m"," 10 h 28 m","0","9,705","949","14,568","1,158","299,279","121+08683, 121+08682, 121+08690"
531,"US-25W N @ TENNESSEE/KENTUCKY","121+13133","36.59138","-84.1261","0.26"," 5 h 2 m","6 d 7 h 5 m","0","3,374","2,409","31,654","2,910","298,523","121+13133, 121+12487"
532,"TN-254 E @ US-41/US-70S/TN-1/MURFREESBORO PIKE","121P09266","36.07192","-86.63622","0.03"," 9 h 29 m","11 d 20 h 31 m","0","17,202","553","8,695","670","298,080","121P09266, 121+09266"
533,"US-11 S @ TN-60/25TH ST","121N08477","35.17824","-84.86495","0.05"," 10 h 23 m","12 d 23 h 33 m","0","15,340","671","10,101","781","298,021","121N08477, 121-08477, 121-08478"
534,"US-70 W @ US-231/TN-10/N CUMBERLAND ST","121-06047","36.21241","-86.2904","0.24"," 2 h 23 m","2 d 23 h 41 m","0","8,782","1,024","13,905","1,214","297,844","121-06047, 121-07025"
535,"US-27 S @ TN-60/TN-378/HIWASSEE HWY/MARKET ST","121-06188","35.48067","-85.02488","0.49"," 1 h 18 m","1 d 15 h 10 m","0","11,457","1,112","18,892","1,260","297,355","121-06188, 121N06189, 121-06189, 121N06190, 121-06190, 121N06191, 121-06191"
536,"US-70 W @ LYONS VIEW PIKE SW","121-07067","35.94095","-83.97854","1.05"," 16 m"," 8 h 21 m","0","13,072","525","9,982","788","296,980","121-07067, 121N07068"
537,"DEMONBREUN ST W @ US-70S/8TH AVE S","121-12427","36.1569","-86.78084","0.48"," 1 h 19 m","1 d 15 h 57 m","0","4,511","1,121","7,700","1,270","296,457","121-12427, 121-12428, 121-12429, 121N12430"
538,"US-11 S @ MOORE RD/CLUB DR","121-08459","35.01296","-85.22828","0.6"," 47 m"," 23 h 35 m","0","15,895","683","10,404","786","296,388","121-08459, 121-08460, 121-08461, 121N08462, 121-08462, 121N08463"
539,"MALORY LN N @ TN-441/MOORES LN","121P50749","35.96715","-86.81355","0.22"," 2 h 59 m","3 d 17 h 46 m","0","11,245","832","11,640","973","296,182","121P50749, 121+50749, 121+50748, 121P50747, 121+50747, 121P50746"
540,"US-11 S @ SPRING CREEK RD","121-08461","35.00994","-85.22023","1.05"," 16 m"," 8 h 20 m","0","17,856","516","8,379","646","294,973","121-08461, 121N08462, 121-08462, 121N08463"
541,"MOUNTAIN CREEK RD S @ US-127/SIGNAL MOUNTAIN RD","121N10277","35.09859","-85.32811","0.04"," 14 h 42 m","18 d 9 h 8 m","0","6,702","1,001","15,755","1,389","294,788","121N10277"
542,"HOLLY CIR N @ WINCHESTER RD","113P15124","35.05341","-89.98981","0.12"," 3 h 13 m","4 d 54 m","0","13,258","664","9,461","797","293,730","113P15124, 113+15124, 113P15123"
543,"US-129 S @ N WRIGHT RD","121-08330","35.82104","-83.97883","1.38"," 5 m"," 2 h 44 m","0","31,153","193","6,243","405","293,248","121-08330, 121N08331, 121-08331, 121N05571, 121-05571, 121-08332"
544,"US-27 S @ E 37TH ST","121-06823","35.00142","-85.29217","0.38"," 49 m","1 d 38 m","0","17,010","504","9,605","682","292,742","121-06823, 121-06824, 121-06825, 121N06186, 121-06186, 121N07297"
545,"US-70S W @ US-41/SE BROAD ST","121+06056","35.8373","-86.3854","0.77"," 50 m","1 d 1 h 12 m","0","8,719","1,061","18,282","1,331","292,146","121+06056, 121P08670, 121+08670"
546,"TN-23 W @ I-240","113N10842","35.13102","-89.871","0.55"," 23 m"," 11 h 41 m","0","32,022","351","7,822","458","291,262","113N10842, 113-10842, 113N10843"
547,"US-72 E @ S MENDENHALL RD","113+05309","35.11315","-89.89617","0.8"," 30 m"," 15 h 14 m","0","17,660","590","8,980","681","291,083","113+05309, 113+05308, 113P05307, 113+05307"
548,"POPLAR PIKE W @ TN-177/S GERMANTOWN RD","113N15529","35.08459","-89.81018","0.1"," 8 h 4 m","10 d 2 h 5 m","0","12,000","758","12,120","928","289,287","113N15529, 113-15529, 113N15530"
549,"US-41-ALT S @ TN-130/TN-55/WILSON AVE","121-09085","35.36749","-86.21657","1.43"," 22 m"," 11 h 6 m","0","10,986","954","15,542","1,118","288,903","121-09085"
550,"TN-55 S @ US-41/TN-2/HILLSBORO BLVD","121N09546","35.47595","-86.08144","0.13"," 6 h 35 m","8 d 5 h 47 m","0","7,967","1,419","24,036","1,648","288,240","121N09546, 121-09546, 121N09547"
551,"US-441 S @ TN-62/WESTERN AVE/SUMMIT HILL DR","121N10413","35.9648","-83.92411","0.07"," 49 m","1 d 54 m","0","22,640","101","406","121","287,494","121N10413"
552,"US-70 W @ NEYLAND DR/S CONCORD ST","121-07069","35.95151","-83.94703","0.52"," 48 m","1 d 21 m","0","11,891","545","6,945","686","287,482","121-07069, 121N07070, 121-07070, 121-07071, 121-07072, 121N07073"
553,"US-70-BR W @ US-70/TN-26/TN-24/BADDOUR PKY","121N07114","36.21793","-86.33503","0.16"," 5 h 7 m","6 d 9 h 53 m","0","5,727","1,469","17,987","1,685","287,255","121N07114, 121-07114"
554,"TN-193 E @ DEXTER LN","113+15518","35.15594","-89.78029","0.98"," 51 m","1 d 1 h 41 m","0","6,210","1,497","18,242","1,661","285,988","113+15518, 113P15517"
555,"TN-45 W @ INDUSTRIAL RD/CLAUDIA DR","121-09229","36.2627","-86.66167","1.98"," 19 m"," 9 h 56 m","0","12,887","1,113","21,762","1,248","284,970","121-09229, 121-09230"
556,"US-72 E @ POPLAR PIKE EXT/RIDGEWAY LOOP RD","113P05313","35.10232","-89.86198","0.16"," 1 h 39 m","2 d 1 h 41 m","0","28,473","370","6,487","442","284,831","113P05313, 113+05313, 113P05312"
557,"US-31E W @ I-24","121N09306","36.1713","-86.76939","0.38"," 43 m"," 21 h 58 m","0","9,437","621","9,706","895","284,354","121N09306, 121-09306, 121-09307, 121N09308"
558,"US-51 N @ WILKINSVILLE RD","113+10919","35.35742","-89.89436","1.97"," 14 m"," 7 h 20 m","0","13,447","828","15,326","992","284,043","113+10919, 113+10918, 113P10917, 113+10917"
559,"US-70 E @ US-45-BYP/KEITH SHORT BYP","121P06994","35.61714","-88.84268","0.04"," 5 h 13 m","6 d 12 h 37 m","0","11,181","358","7,645","751","283,145","121P06994"
560,"TN-176 S @ KNIGHT ARNOLD RD","113-10873","35.06771","-89.93223","0.72"," 27 m"," 13 h 50 m","0","17,766","582","10,013","694","283,087","113-10873, 113-10874, 113N10875"
561,"US-11W N @ NETHERLAND INN RD","121P08409","36.55228","-82.62266","0.21"," 58 m","1 d 5 h 24 m","0","16,644","354","8,890","662","282,895","121P08409, 121+08409"
562,"PARK AVE E @ MT MORIAH RD","113+10860","35.10658","-89.89542","0.8"," 35 m"," 17 h 48 m","0","11,384","815","12,590","972","282,455","113+10860, 113+10859"
563,"EBENEZER RD N @ WESTLAND DR (NORTH)","121+10595","35.89396","-84.06873","0.5"," 1 h 16 m","1 d 14 h 11 m","0","12,475","1,057","19,336","1,185","280,106","121+10595, 121+10594, 121P10593"
564,"US-41A E @ OLD HICKORY BLVD","121+09346","36.27941","-86.87347","4.93"," 18 m"," 9 h 12 m","0","4,063","1,976","61,904","3,346","280,102","121+09346, 121+09345, 121+09344, 121+09343, 121P09214, 121+09214"
565,"US-31A S @ TN-155/THOMPSON LN","121N09065","36.11036","-86.74489","0.61"," 32 m"," 16 h 27 m","0","13,478","528","8,248","695","279,790","121N09065, 121-09065, 121N09066, 121-09066, 121N09067, 121-09067, 121-09068"
566,"TN-204 N @ RALEIGH LAGRANGE RD","113+10392","35.19332","-89.89556","1.38"," 12 m"," 6 h 12 m","0","19,610","507","9,051","620","279,761","113+10392, 113+10391, 113P10390"
567,"US-231 N @ I-24","121+06014","35.80935","-86.3971","0.52"," 24 m"," 12 h 24 m","0","27,707","316","5,731","407","279,381","121+06014, 121P06014, 121+06842, 121+06843"
568,"US-231 N @ VETERANS PKWY","121+50890","35.78599","-86.4007","0.76"," 55 m","1 d 3 h 56 m","0","11,704","1,077","19,826","1,222","278,832","121+50890, 121+06841, 121+06014, 121P06014, 121+06842"
569,"TROUSDALE DR S @ TN-255/HARDING PL","121N50812","36.08048","-86.75843","0.13"," 7 h 49 m","9 d 18 h 33 m","0","4,826","1,599","20,982","1,911","278,449","121N50812, 121-50812"
570,"US-11E S @ WHITE TOP RD","121-14150","36.5088","-82.26469","4.68"," 9 m"," 4 h 49 m","0","9,150","1,351","29,194","1,628","278,141","121-14150"
571,"TN-171 N @ US-70/TN-24/LEBANON RD","121P09273","36.23093","-86.51354","0.07"," 16 h 54 m","21 d 3 h 20 m","0","9,956","689","12,245","967","278,067","121P09273, 121+09273, 121+09272"
572,"CALLAHAN DR W @ I-75","121N10588","36.02457","-83.99838","0.18"," 2 h 9 m","2 d 16 h 51 m","0","15,185","716","12,236","832","277,099","121N10588"
573,"TN-14 N @ TN-204/WK SINGLETON PKY","113P05383","35.23553","-89.89486","0.1"," 5 h 3 m","6 d 7 h 58 m","0","13,667","859","18,234","1,046","276,940","113P05383, 113+05383, 113P05381, 113+05381, 113P05379, 113+05379, 113P07593, 113+07593, 113P05378, 113+05378"
574,"US-321 W @ US-11E-BR/TN-107/TUSCULUM BLVD","121-05553","36.17774","-82.78821","0.96"," 28 m"," 14 h 16 m","0","12,859","780","15,467","984","276,555","121-05553, 121-05554"
575,"SUMMIT HILL DR W @ GAY ST","121-10507","35.96736","-83.91955","0.27"," 1 h 35 m","1 d 23 h 33 m","0","6,062","767","5,337","876","276,243","121-10507, 121N10508, 121-10508, 121N10509"
576,"FOOTHILLS MALL DR S @ US-129/US-411/BROADWAY AVE","121N10669","35.73696","-83.99148","0.08"," 8 h 5 m","10 d 2 h 48 m","0","5,967","1,085","12,836","1,328","276,070","121N10669, 121-10669"
577,"US-25W N @ TN-131/W EMORY RD (SOUTH)","121+10578","36.01896","-84.05228","1.56"," 11 m"," 5 h 44 m","0","15,546","524","11,314","745","275,963","121+10578, 121+10577"
578,"US-79 W @ I-24","121N06011","36.59845","-87.28438","0.53"," 33 m"," 16 h 51 m","0","16,800","391","5,440","488","275,505","121N06011, 121-06011"
579,"TN-95 E @ LAFAYETTE DR/NEW YORK AVE","121P10698","36.0213","-84.24616","0.23"," 2 h 45 m","3 d 10 h 37 m","0","11,893","893","12,559","980","275,467","121P10698, 121+10698, 121P10697"
580,"WOLF RIVER BLVD W @ FOREST HILL IRENE RD","113-15536","35.09693","-89.75758","1.33"," 14 m"," 7 h 9 m","0","22,277","440","8,890","560","273,207","113-15536, 113-15537, 113N15538"
581,"US-41A W @ US-41A-BYP/TN-76","121N09211","36.50894","-87.2745","0.15"," 3 h 38 m","4 d 13 h 29 m","0","10,289","911","12,706","1,035","273,001","121N09211, 121-09211"
582,"EDMONDSON PIKE S @ HOLT RD","121-50721","36.0156","-86.7406","1.18"," 29 m"," 14 h 30 m","0","10,298","964","14,165","1,088","270,839","121-50721, 121-50722"
583,"US-78 S @ WINCHESTER RD","113N05561","35.05107","-89.92538","0.16"," 59 m","1 d 5 h 47 m","0","17,912","332","6,577","535","269,098","113N05561, 113-05561, 113N05560, 113-05560"
584,"RIDGEWAY RD S @ US-72/POPLAR AVE","113N50849","35.10128","-89.85938","0.04"," 8 h 23 m","10 d 11 h 38 m","0","10,557","637","7,795","764","268,751","113N50849"
585,"CENTRAL AVE E @ LOMBARDY PL","113+10850","35.12488","-89.97279","0.82"," 25 m"," 12 h 55 m","0","7,601","661","11,029","1,023","268,618","113+10850, 113P10849, 113+10849, 113+10848"
586,"CHURCH ST W @ 3RD AVE N","121-13548","36.16424","-86.77774","0.1"," 6 h 15 m","7 d 19 h 41 m","0","3,846","1,120","5,726","1,180","268,062","121-13548, 121N13549"
587,"SIDCO DR N @ TN-155/THOMPSON LN","121P13685","36.11117","-86.75524","0.07"," 7 h 21 m","9 d 4 h 40 m","0","5,473","1,075","15,168","1,456","267,610","121P13685, 121+13685"
588,"US-231 N @ NORTHFIELD BLVD","121+06846","35.86789","-86.38716","1.17"," 17 m"," 8 h 30 m","0","17,811","394","6,944","546","267,583","121+06846, 121P06846, 121+06847"
589,"TN-397 N @ US-431/TN-106/LEWISBURG PIKE","121-09317","35.89947","-86.84916","1.8"," 20 m"," 10 h 9 m","0","10,560","1,089","24,112","1,349","266,748","121-09317, 121N09318"
590,"VA-1 W @ PIEDMONT AVE","110-19634","36.595","-82.18517","0.24"," 1 h 50 m","2 d 7 h 26 m","0","7,057","793","5,985","872","265,799","110-19634, 110N19635, 110-19635, 110N19636"
591,"TN-50 S @ US-412-BR/TN-99/JM CAMPBELL BLVD","121-09109","35.61749","-87.06501","1.12"," 42 m"," 21 h 23 m","0","5,929","1,424","25,275","1,815","265,354","121-09109, 121N09110"
592,"US-70 W @ DR DB TODD JR BLVD","121-04425","36.15807","-86.79996","0.41"," 37 m"," 18 h 55 m","0","15,238","456","6,708","581","265,259","121-04425, 121N04426, 121-04426, 121N04427"
593,"TN-109 N @ US-31E/TN-6/NASHVILLE PIKE","121+08877","36.37608","-86.466","1.92"," 6 m"," 3 h 14 m","0","12,500","358","12,697","853","264,569","121+08877, 121P06066"
594,"US-70 W @ US-129/TN-115/TN-73/ALCOA HWY","121N07070","35.95246","-83.94318","0.32"," 1 h 2 m","1 d 7 h 26 m","0","10,799","524","5,214","617","264,488","121N07070, 121-07070, 121-07071, 121-07072, 121N07073"
595,"US-31 N @ TN-397/MACK HATCHER MEML PKY","121+05959","35.94631","-86.85219","1.76"," 23 m"," 11 h 38 m","0","7,600","1,218","15,877","1,343","263,989","121+05959, 121P05958, 121+05958"
596,"12TH AVE S N @ WEDGEWOOD AVE","121+13699","36.13617","-86.78869","1.14"," 31 m"," 15 h 52 m","0","7,794","1,085","11,127","1,144","263,948","121+13699, 121P13698"
597,"S PERKINS RD N @ I-240","113P10973","35.0799","-89.90731","0.23"," 1 h 14 m","1 d 13 h 29 m","0","20,315","458","6,145","510","263,727","113P10973, 113+10973, 113+10972, 113P10971"
598,"OLD HICKORY BLVD S @ TN-100","121N12421","36.06074","-86.9162","0.02"," 15 h 53 m","19 d 20 h 47 m","0","13,001","529","10,253","751","262,978","121N12421"
599,"TN-12 W @ US-41A-BYP/TN-76","121N09193","36.5007","-87.29014","0.03"," 14 h 42 m","18 d 9 h 6 m","0","8,535","698","18,736","1,244","261,685","121N09193"
600,"JEFFERSON ST E @ COWAN ST","121P13498","36.1769","-86.77616","0.05"," 5 h 57 m","7 d 10 h 43 m","0","13,707","490","6,581","612","261,027","121P13498, 121+13498, 121P13497, 121+13497"
601,"TN-136 S @ FISK RD","121-12626","36.17626","-85.48046","1.11"," 27 m"," 13 h 57 m","0","8,343","884","15,867","1,173","261,026","121-12626, 121N12627"
602,"US-431 N @ I-24/I-65","121P07451","36.20661","-86.77789","0.28"," 1 h 20 m","1 d 16 h 9 m","0","13,244","639","9,236","751","260,503","121P07451, 121+07451"
603,"GOODLETT ST N @ US-72/POPLAR AVE/CENTRAL AVE","113P14922","35.12371","-89.92581","0.11"," 4 h 17 m","5 d 8 h 36 m","0","11,605","739","9,910","841","260,073","113P14922, 113+14922, 113P14921"
604,"TN-131 E @ TN-169/MIDDLEBROOK PIKE","121+10462","35.95309","-84.12323","1.75"," 11 m"," 5 h 57 m","0","9,134","625","13,426","1,004","260,065","121+10462"
605,"US-25W N @ TN-131/W EMORY RD (NORTH)","121+10579","36.02031","-84.05434","0.44"," 1 h 11 m","1 d 11 h 32 m","0","12,836","672","13,302","880","258,303","121+10579, 121+10578, 121+10577"
606,"US-11E S @ TN-34/ANDERSON ST/BROAD ST","121N08538","36.59228","-82.18855","0.09"," 4 h 58 m","6 d 5 h 10 m","0","11,973","621","7,486","702","258,023","121N08538, 121-08538, 121N05629"
607,"US-231 S @ W MAIN ST","121-06844","35.84652","-86.39647","0.49"," 30 m"," 15 h 22 m","0","17,359","403","5,878","518","257,738","121-06844, 121-06015, 121-06843, 121-06842, 121-06014, 121N06014, 121-06841"
608,"US-25E S @ TN-63/FORGE RIDGE RD/OLD TN-63","121-08356","36.56388","-83.65142","0.24"," 3 h 48 m","4 d 18 h 8 m","0","7,334","1,654","33,272","1,908","257,380","121-08356, 121N05594, 121-05594"
609,"TN-332 E @ US-11/US-70/KINGSTON PIKE (EAST)","121P10457","35.93287","-84.00257","0.08"," 14 h 26 m","18 d 1 h 29 m","0","8,442","962","13,199","1,122","256,736","121P10457, 121+10457, 121P10456, 121+10456"
610,"US-321 W @ US-411/TN-33/W BROADWAY AVE","121-05546","35.75113","-83.9756","0.15"," 3 h 11 m","3 d 23 h 56 m","0","10,912","788","10,498","888","256,610","121-05546, 121-14560, 121N08258"
611,"US-127 N @ I-40","121P05344","36.00181","-85.04529","0.16"," 3 h 11 m","3 d 23 h 50 m","0","11,494","928","17,232","1,088","256,071","121P05344"
612,"US-70 E @ NONAVILLE RD","121+07021","36.23055","-86.53068","1.19"," 23 m"," 11 h 31 m","0","13,795","822","16,385","967","255,643","121+07021"
613,"US-70 W @ BRIDGEWATER RD NW/SUBURBAN RD","121-07061","35.92057","-84.0669","0.59"," 36 m"," 18 h 28 m","0","14,350","622","8,824","705","255,170","121-07061, 121-07062, 121-07063"
614,"TN-56 S @ US-70S-BR/W MAIN ST/W MORFORD ST","121N08933","35.6814","-85.77441","0.06"," 8 h 25 m","10 d 12 h 59 m","0","8,051","873","11,514","1,045","254,812","121N08933"
615,"US-41 S @ S RUTHERFORD BLVD","121-09506","35.8117","-86.36965","1.54"," 26 m"," 13 h 14 m","0","4,472","1,175","23,354","1,892","254,505","121-09506, 121-09507, 121N09508"
616,"US-31 N @ TN-397/MACK HATCHER MEMORIAL PKY","121+05957","35.89131","-86.87713","3.97"," 13 m"," 6 h 37 m","0","8,118","1,574","36,135","1,859","253,789","121+05957"
617,"TN-175 E @ TCHULAHOMA RD","113+05426","35.02076","-89.95459","0.51"," 11 m"," 5 h 35 m","0","19,357","171","4,357","420","252,856","113+05426"
618,"ASH ST W @ US-41/US-31A/US-70S/LAFAYETTE ST/4TH AVE S","121N13562","36.15216","-86.77225","0.09"," 7 h 4 m","8 d 20 h","0","4,500","1,056","6,905","1,142","251,728","121N13562, 121-13562, 121N13563"
619,"TN-6 S @ TN-174/ALBERT GALLATIN AVE","121-09179","36.40272","-86.43111","2.25"," 26 m"," 13 h","0","5,783","1,045","27,560","1,793","251,632","121-09179, 121-09180"
